FECHA,T1,T2,T3,T4,H1,H2,H3,H4,MO1,MO2,MO3,MO4,LUX1,LUX2,LUX3,LUX4
2022-03-01,13.880788897005111,12.675042610177746,12.54166057949842,,90.72388604821037,89.96238130021914,89.86072559045532,,11.25490625760896,,,,1213.1054541027513,,,
2022-03-02,14.284529175295408,13.0666098184919,12.91321720063345,,89.97393105128518,88.16615909367768,90.06249238640517,,11.190800341089048,,,,2755.7962906565963,,,
2022-03-03,14.87933682798976,13.620224308179933,14.009776910886263,,90.67316835304158,88.70596123369499,90.07472875777155,,11.304566621967574,,,,2551.612825795441,,,
2022-03-04,14.273722093448825,13.010760034158839,13.138733683054774,,90.81725021349274,90.08844699280225,89.68317677198975,,11.379576674393071,,,,1644.1085824081981,,,
2022-03-05,15.25166687019172,14.012028330687508,14.22301868359995,,90.58163389913298,88.40407864208083,90.820124557333,,11.483548662840395,,,,2649.0137220661863,,,
2022-03-06,14.674963343108505,13.483125610948191,13.481393643031785,,91.02541544477029,89.2591642228739,90.529706601467,,11.526132697947213,,,,2183.9632184750735,,,
2022-03-07,16.062874617737002,14.842238532110093,15.663401842664776,,89.51498470948012,87.06324159021406,91.73615875265769,,11.654900305810397,,,,3517.382839143731,,,
2022-03-08,15.770349975526187,14.578059226627508,14.786650547213032,,91.63203622124327,90.4648800783162,91.21664545685925,,11.585822320117474,,,,3323.5474804209493,,,
2022-03-09,15.083702706012,13.856311987265826,14.193718623729644,,91.29741643198237,90.54181461981143,90.86114852455002,,11.506430757928246,,,,2490.6455724256152,,,
2022-03-10,14.384867050606543,13.19468202426173,13.545692929788018,,90.75444185761549,89.6848425438059,90.46342360004901,,11.48464771474084,,,,3340.4284867050605,,,
2022-03-11,16.59033913840513,15.3632080659945,15.479314139006052,,87.30155820348304,83.04766269477544,91.3632862644416,,11.569899175068743,,,,5874.845490375802,,,
